시도,연령별,인구수,남자인구수,여자인구수
인천광역시,85세,5632,1611,4021
인천광역시,86세,4535,1252,3283
인천광역시,87세,4073,1038,3035
인천광역시,88세,3581,914,2667
인천광역시,89세,2904,723,2181
인천광역시,90세,2337,530,1807
인천광역시,91세,1689,359,1330
인천광역시,92세,1397,275,1122
인천광역시,93세,1088,239,849
인천광역시,94세,928,257,671
인천광역시,95세,659,157,502
인천광역시,96세,497,110,387
인천광역시,97세,337,93,244
인천광역시,98세,235,69,166
인천광역시,99세,165,31,134
인천광역시,100세 이상,791,192,599
광주광역시,계,1463770,725295,738475
광주광역시,0세,9793,5074,4719
광주광역시,1세,11824,6023,5801
광주광역시,2세,12910,6637,6273
광주광역시,3세,13298,6836,6462
광주광역시,4세,13448,6887,6561
광주광역시,5세,15210,7930,7280
광주광역시,6세,14924,7707,7217
광주광역시,7세,15110,7789,7321
광주광역시,8세,14421,7450,6971
광주광역시,9세,14935,7648,7287
광주광역시,10세,16231,8469,7762
광주광역시,11세,14732,7645,7087
광주광역시,12세,14382,7469,6913
광주광역시,13세,15673,8144,7529
광주광역시,14세,17044,8948,8096
광주광역시,15세,16897,8772,8125
광주광역시,16세,19326,10024,9302
광주광역시,17세,22259,11603,10656
광주광역시,18세,21435,11062,10373
광주광역시,19세,21828,11400,10428
광주광역시,20세,22781,11863,10918
광주광역시,21세,22677,11960,10717
광주광역시,22세,23374,12127,11247
광주광역시,23세,22255,11923,10332
광주광역시,24세,21297,11344,9953
광주광역시,25세,21213,11179,10034
광주광역시,26세,19492,10141,9351
광주광역시,27세,17254,9107,8147
광주광역시,28세,16831,8592,8239
광주광역시,29세,16436,8453,7983
광주광역시,30세,16450,8312,8138
광주광역시,31세,16736,8492,8244
광주광역시,32세,17535,8974,8561
광주광역시,33세,18389,9385,9004
광주광역시,34세,21093,10793,10300
광주광역시,35세,23489,11844,11645
광주광역시,36세,23425,11686,11739
광주광역시,37세,23437,11652,11785
광주광역시,38세,23973,11723,12250
광주광역시,39세,20995,10581,10414
광주광역시,40세,23042,11366,11676
광주광역시,41세,22983,11519,11464
광주광역시,42세,22842,11367,11475
광주광역시,43세,25805,12905,12900
광주광역시,44세,26072,12838,13234
광주광역시,45세,26234,12979,13255
광주광역시,46세,27250,13518,13732
광주광역시,47세,26742,13313,13429
광주광역시,48세,25453,12687,12766
광주광역시,49세,26781,13211,13570
광주광역시,50세,24386,12017,12369
광주광역시,51세,23592,12006,11586
광주광역시,52세,23583,11599,11984
광주광역시,53세,22087,11073,11014
광주광역시,54세,22145,11054,11091
광주광역시,55세,22128,11079,11049
광주광역시,56세,22465,11015,11450
광주광역시,57세,24267,11796,12471
광주광역시,58세,21870,10559,11311
광주광역시,59세,19412,9371,10041
광주광역시,60세,19177,9347,9830
광주광역시,61세,16177,7961,8216
광주광역시,62세,17155,8200,8955
광주광역시,63세,14231,6860,7371
광주광역시,64세,12217,5740,6477
광주광역시,65세,13742,6467,7275
광주광역시,66세,11134,5226,5908
광주광역시,67세,11592,5463,6129
광주광역시,68세,12121,5589,6532
광주광역시,69세,11129,5202,5927
광주광역시,70세,11776,5316,6460
광주광역시,71세,9351,4379,4972
광주광역시,72세,8278,3776,4502
광주광역시,73세,8254,3704,4550
광주광역시,74세,7598,3366,4232
광주광역시,75세,10551,4719,5832
광주광역시,76세,8238,3451,4787
광주광역시,77세,6858,2767,4091
광주광역시,78세,6754,2763,3991
광주광역시,79세,6086,2435,3651
광주광역시,80세,5536,2113,3423
광주광역시,81세,4704,1705,2999
광주광역시,82세,4578,1617,2961
광주광역시,83세,4057,1415,2642
광주광역시,84세,3223,1005,2218
광주광역시,85세,2797,836,1961
광주광역시,86세,2270,636,1634
광주광역시,87세,2157,529,1628
광주광역시,88세,1869,512,1357
광주광역시,89세,1365,336,1029
광주광역시,90세,1152,263,889
광주광역시,91세,818,177,641
광주광역시,92세,661,125,536
광주광역시,93세,435,96,339
광주광역시,94세,502,100,402
광주광역시,95세,342,60,282
광주광역시,96세,238,26,212
광주광역시,97세,158,26,132
광주광역시,98세,116,21,95
광주광역시,99세,77,8,69
광주광역시,100세 이상,345,38,307
대전광역시,계,1502227,750969,751258
대전광역시,0세,10424,5370,5054
대전광역시,1세,12438,6409,6029
대전광역시,2세,13507,6987,6520
대전광역시,3세,13335,6921,6414
대전광역시,4세,13497,6890,6607
대전광역시,5세,14812,7611,7201
대전광역시,6세,14634,7555,7079
대전광역시,7세,14378,7409,6969
대전광역시,8세,13697,7047,6650
대전광역시,9세,14496,7471,7025
대전광역시,10세,15502,7941,7561
대전광역시,11세,14111,7318,6793
대전광역시,12세,13769,7163,6606
대전광역시,13세,15212,7914,7298
대전광역시,14세,15783,8126,7657
대전광역시,15세,15771,8262,7509
대전광역시,16세,17724,9280,8444
대전광역시,17세,20117,10461,9656
대전광역시,18세,19645,10302,9343
대전광역시,19세,20371,10566,9805
대전광역시,20세,21679,10952,10727
대전광역시,21세,22095,11368,10727
대전광역시,22세,22912,12093,10819
대전광역시,23세,22769,12139,10630
대전광역시,24세,22159,11961,10198
대전광역시,25세,22561,11944,10617
대전광역시,26세,21627,11376,10251
대전광역시,27세,19887,10816,9071
대전광역시,28세,19232,10342,8890
대전광역시,29세,19052,10207,8845
대전광역시,30세,18675,9769,8906
대전광역시,31세,18914,9955,8959
대전광역시,32세,19367,10043,9324
대전광역시,33세,19255,9933,9322
대전광역시,34세,21739,11064,10675
대전광역시,35세,23814,12072,11742
대전광역시,36세,24348,12293,12055
대전광역시,37세,24105,12093,12012
대전광역시,38세,23668,11830,11838
대전광역시,39세,21399,10742,10657
대전광역시,40세,22837,11287,11550
대전광역시,41세,22786,11294,11492
대전광역시,42세,23252,11573,11679
대전광역시,43세,25342,12660,12682
대전광역시,44세,27014,13276,13738
대전광역시,45세,26421,13292,13129
대전광역시,46세,28048,14132,13916
대전광역시,47세,27114,13674,13440
대전광역시,48세,27922,13828,14094
대전광역시,49세,27969,13813,14156
대전광역시,50세,25197,12299,12898
대전광역시,51세,23035,11910,11125
대전광역시,52세,23964,11864,12100
대전광역시,53세,23769,11920,11849
대전광역시,54세,21392,10762,10630
대전광역시,55세,25144,12654,12490
대전광역시,56세,26308,13051,13257
대전광역시,57세,26000,12697,13303
대전광역시,58세,23574,11514,12060
대전광역시,59세,20914,10374,10540
대전광역시,60세,21363,10677,10686
대전광역시,61세,19508,9693,9815
대전광역시,62세,19489,9463,10026
대전광역시,63세,16949,8204,8745
대전광역시,64세,13769,6846,6923
대전광역시,65세,14784,7207,7577
